geolocation_lat,geolocation_lng,seller_zip_code_prefix,seller_city,seller_state
-22.898536428530225,-47.063125168330544,13023,campinas,SP
-22.382941116125448,-46.94664125419024,13844,mogi guacu,SP
-22.91064096725142,-43.17650983181368,20031,rio de janeiro,RJ
-23.657250175378767,-46.61075944811122,4195,sao paulo,SP
-22.971647510075705,-46.53361841170685,12914,braganca paulista,SP
-22.89141262003006,-43.22976145989381,20920,rio de janeiro,RJ
-9.024839005157318,-36.57020044972058,55325,brejao,PE
-21.442124375537592,-50.07351408965658,16304,penapolis,SP
-23.569353157366287,-46.63690014002537,1529,sao paulo,SP
-25.464029318048183,-49.30472794690424,80310,curitiba,PR
-16.327942149486358,-48.93600324439582,75110,anapolis,GO
-22.24952039418273,-47.81123678056145,13530,itirapina,SP
-23.547159576461446,-46.64989460560333,1222,sao paulo,SP
-23.58316603052688,-46.76124388343237,5372,sao paulo,SP
-28.47802628243179,-48.99718340569771,88705,tubarao,SC
-12.895112589380958,-38.33895999999978,42738,lauro de freitas,BA
-28.190231258277556,-48.66460352500113,88780,imbituba,SC
-15.769799999999991,-47.89016774999999,70740,brasilia,DF
-16.44446967266491,-39.06166956260506,45810,porto seguro,BA
-23.485253731057767,-46.73312974854289,5138,sao paulo,SP
-23.98788982791853,-46.24777699362336,11440,guaruja,SP
-21.72886646318172,-48.68881488220222,14910,tabatinga,SP
-23.63029446211553,-46.62350029239998,4156,sao paulo,SP
-23.198860047870664,-47.29334560811024,13320,salto,SP
-27.713180999999945,-54.26528299999997,98910,tres de maio,RS
-19.95661690748416,-43.968436347881045,30494,belo horizonte,MG
-23.422194813273112,-51.43376667120238,86707,arapongas,PR
-23.724134173502662,-46.57554561519289,9850,sao bernardo do campo,SP
-23.7836170269202,-46.68314048987244,4857,sao paulo,SP
-23.03582473318652,-47.8363026594829,18500,tatui,SP
-25.43871208756084,-49.24089260093047,80210,curitiba,PR
-23.46735986594724,-46.57715992131685,2261,sao paulo,SP
-28.03172040884407,-48.62388672140172,88495,garopaba,SC
-23.54478975206393,-46.495489292925285,3562,sao paulo,SP
-22.758277649423835,-46.15427601386239,37650,camanducaia,MG
-21.93532101918528,-50.49756182976886,17602,tupa,SP
-23.44803925506378,-46.421980491257415,7241,guarulhos,SP
-25.497589516673177,-49.18687479711266,83050,sao jose dos pinhais,PR
-23.549276996393317,-46.52600554010618,3445,sao paulo,SP
-23.63058688480546,-46.61784924409308,4133,sao paulo,SP
-15.84773403146559,-48.11320617572606,72233,brasilia,DF
-15.782105504364816,-47.93233498642118,70645,brasilia,DF
-28.327530882623098,-49.18050954005345,88730,sao ludgero,SC
-27.58917099140166,-48.579840372323886,88075,sao jose,SC
-22.715110444918835,-47.645625352213,13416,piracicaba,SP
-30.06838880309298,-51.22319513873832,90850,porto alegre,RS
-22.15937587770692,-46.04402732344177,37584,congonhal,MG
-19.86247705744709,-43.89710791840267,31950,belo horizonte,MG
-19.84506185844542,-43.98466346448144,31555,belo horizonte,MG
-23.63036454454957,-46.5101659848808,9251,santo andre,SP
-23.62112665860704,-46.69541190660167,4705,sao paulo,SP
-23.56949384569213,-46.8037303756421,6144,osasco,SP
-22.976619071841363,-47.01071509319301,13270,valinhos,SP
-26.330548143460163,-48.88090174304856,89214,joinville,SC
-23.940592627531885,-46.18049042714523,11446,guaruja,SP
-22.91119567907111,-42.47940224673698,28990,saquarema,RJ
-26.70909855991671,-48.69369179611,88390,barra velha,SC
-22.389386316926604,-43.131794488742194,25730,petropolis,RJ
-29.8278405,-50.5234755,95500,santo antonio da patrulha,RS
-25.090806929770974,-50.15864960866176,84010,ponta grossa,PR
-23.463669949766263,-46.867870523601965,6544,santana de parnaiba,SP
-23.687193239224257,-46.498261391639694,9121,santo andre,SP
-22.016967296150906,-47.85171546211552,13568,sao carlos,SP
-23.565986162357948,-46.78504212655093,6056,osasco,SP
-21.7664768468313,-48.83154737836604,14940,ibitinga,SP
-23.61182165306711,-46.74705040161001,5741,sao paulo,SP
-25.533552342489493,-49.18726902068778,83010,sao jose dos pinhais,PR
-23.51674732944774,-46.54818243075192,3702,sao paulo,SP
-23.491791912543025,-46.94733309700014,6429,barueri,SP
-23.527419336689768,-46.79951706425642,6192,osasco,SP
-29.17682210847989,-51.15690685509721,95076,caxias do sul,SP
-23.541941545934563,-46.49095488842404,3569,sao paulo,SP
-26.322991407438398,-48.83333579156326,89207,joinville,SC
-18.65223568071188,-48.19343213192182,38440,araguari,MG
-19.86613222598972,-44.02388988644902,32180,contagem,MG
-26.48928831929638,-49.06057033406625,89258,jaragua do sul,SC
-21.7664768468313,-48.83154737836604,14940,ibitinga,SP
-23.71457923606073,-46.54581156219319,9715,sao bernardo do campo,SP
-27.81568867055225,-50.33589889924407,88501,lages - sc,SC
-29.17519237322801,-51.56925812204669,95711,bento goncalves,RS
-21.12727725229381,-48.96558623910783,15805,catanduva,SP
-23.712947685815696,-46.40855396350052,9400,ribeirao pires,SP
-23.63580786663679,-46.71209825910773,4726,sao paulo,SP
-21.250592999999995,-48.31762049999999,14882,jaboticabal,SP
-22.42925217631197,-50.20413759688468,19830,echapora,SP
-23.615928708516527,-46.84997839900814,6713,cotia,SP
-27.20981137280685,-49.63292048422235,89160,rio do sul,SC
-23.593755572854764,-46.61713462101102,4275,sao paulo,SP
-23.50436812822437,-47.46615628434992,18040,sorocaba,SP
-22.83586646404876,-43.322162133504506,21235,rio de janeiro,RJ
-21.36757068180344,-48.06270442872158,14850,pradopolis,SP
-22.984848450458767,-43.20073414542106,22420,rio de janeiro,RJ
-23.529050497085805,-46.63889432139766,1125,sao paulo,SP
-22.70666999999997,-42.896109999999965,24813,itaborai,RJ
-23.636521320012687,-46.77320758159732,5786,sao paulo,SP
-20.826509617243435,-49.49059546820425,15137,mirassol,SP
-23.66875959201334,-46.53653409354255,9190,santo andre,SP
-21.301705697260985,-50.33198634467411,16200,birigui,SP
-23.541941545934563,-46.49095488842404,3569,sao paulo,SP
-19.831098006665105,-43.94652358104908,31730,belo horizonte,MG
-22.887998108806,-43.27113442743371,20785,rio de janeiro,RJ
-22.907300762421368,-43.18372964446876,20060,rio de janeiro,RJ
-21.7664768468313,-48.83154737836604,14940,ibitinga,SP
-22.92142919454418,-45.46479177296298,12401,sao paulo,SP
-23.572330354982963,-46.66082327699232,1425,sao paulo,SP
-22.679653253935196,-50.44287891853987,19803,assis,SP
-22.689712550377955,-46.98249303136359,13820,jaguariuna,SP
-21.787360438801997,-48.19339828795659,14801,araraquara,SP
-22.33224074792101,-41.74882256573231,27963,macae,RJ
-23.198860047870664,-47.29334560811024,13320,salto,SP
-22.38438072912452,-47.586364840844695,13504,rio claro,SP
-23.31537709740904,-51.14494497224309,86039,londrina,PR
-23.50403914126612,-46.7311139948641,5101,sao paulo,SP
-21.179578055269594,-47.81126902131619,14010,ribeirao preto,SP
-22.842290284753936,-43.29762071175495,21210,rio de janeiro,RN
-21.69216794221008,-45.25804903964345,37410,tres coracoes,MG
-23.61411790980433,-46.60034800222169,4248,sao paulo,SP
-20.691381198603764,-50.04237071280033,15190,nhandeara,SP
-21.7664768468313,-48.83154737836604,14940,ibitinga,SP
-23.535045041635392,-46.52060623633788,3514,sao paulo,SP
-15.84494561197996,-47.98527498130505,71070,brasilia,DF
-23.507407290616538,-46.84703285302898,6465,barueri,SP
-23.54575105023373,-46.64132693574358,1044,sao paulo,SP
-28.348012329033157,-49.30055430967754,88870,orleans,SC
-15.826958999999992,-47.92446674999999,70384,brasilia,DF
-23.4719444074384,-46.59864459256161,2310,sao paulo,SP
-23.50097763469062,-46.62712333406575,2016,sao paulo,SP
-15.672887529119013,-56.06797233297959,78095,cuiaba,MT
-22.03342996672426,-47.91371971353119,13575,sao carlos,SP
-23.540316757429707,-46.63735536871719,1040,sao paulo,SP
-23.549660117981254,-46.57027590146579,3322,sao paulo,SP
-22.925732829755905,-43.22234726520112,20261,rio de janeiro,RJ
-24.295075877846465,-53.31189564832585,85830,formosa do oeste,PR
-22.933875887039065,-43.68870134055625,23550,rio de janeiro,RJ
-23.93360892117263,-46.34716271579432,11085,santos,SP
-23.539685940879476,-46.54635608021235,3417,sao paulo,SP
-14.43468419408557,-49.70519241955994,76500,santa terezinha de goias,GO
-25.4439745033258,-49.32947681717858,81210,curitiba,PR
-23.55860361532686,-46.43116232924525,8260,sao paulo,SP
-28.87262510202068,-52.17938515160991,95995,arvorezinha,RS
-23.664255516792647,-46.68857909339831,4674,sao paulo,SP
-21.210104711049134,-47.80139005429387,14020,ribeirao preto,SP
-21.006684820194003,-42.71880215875891,36525,guiricema,MG
-29.173493709674137,-51.15643225763195,95072,caxias do sul,RS
-8.286688780194964,-35.97116381695427,55004,caruaru,PE
-25.42552957617298,-49.254479518177625,80045,curitiba,PR
-20.530671079410943,-47.39851931627846,14401,franca,SP
-25.48129914876794,-49.27064708076061,81030,curitiba,PR
-12.990463226579363,-38.49876206529916,40243,salvador,BA
-23.69007059755325,-46.59995236023442,9951,diadema,SP
-23.495851409134296,-46.35654557859026,8573,itaquaquecetuba,SP
-22.60405058635247,-48.795055606488425,18682,lencois paulista,SP
-23.464392221253405,-46.54273714209829,7091,guarulhos,SP
-23.57241932843741,-46.81653106742156,6341,carapicuiba,SP
-14.518522867646602,-49.1319174044097,76400,uruacu,GO
-26.91626999999994,-48.65245999999996,88301,itajai,SC
-23.584265203445064,-46.53648617692888,3280,sao paulo,SP
-23.581373061053768,-46.6178758329102,1545,sao paulo,SP
-23.539494799586286,-46.63284391414975,1026,sao paulo,SP
-25.45385542382702,-49.286168717179294,80620,curitiba,PR
-22.931426544866625,-53.13375928731349,87900,loanda,PR
-23.567258514570952,-46.58312233236194,3186,sao paulo,SP
-21.881549344197197,-51.84621930031394,19400,sao paulo,SP
-23.47666615958798,-46.68147008895491,2839,sao paulo,SP
-23.423386352936397,-51.95203743140284,87014,maringa,PR
-23.536840620318525,-46.640393035807016,1207,sao paulo,SP
-23.568546850380155,-46.66483313596545,1411,sao paulo,SP
-19.921126734952896,-43.94119674937962,30190,belo horizonte,MG
-23.53524072482072,-46.36167384107207,8502,ferraz de vasconcelos,SP
-23.568722298084143,-46.61880092397124,1541,sao paulo,SP
-22.599254430886607,-47.37980963550319,13481,limeira,SP
-23.97025376741302,-46.31830300014421,11040,santos,SP
-23.53994293192069,-46.88676604933411,6436,barueri,SP
-23.4719444074384,-46.59864459256161,2310,sao paulo,SP
-20.43773362250285,-44.75914024487753,35530,claudio,MG
-21.15471717346644,-47.79762442492353,14080,ribeirao preto,SP
-22.939452538175548,-43.04198995476519,24355,niteroi,RJ
-21.78761366528708,-50.87213184519997,17700,osvaldo cruz,SP
-23.54770711276392,-46.83422886223403,6380,carapicuiba,SP
-23.53366928919733,-46.780298393271465,6016,osasco,SP
-22.827869999999997,-43.01969625000001,24451,sao goncalo,RJ
-15.96144358856559,-54.96989318266728,78820,jaciara,MT
-26.999696999999948,-48.63513949999995,88330,balenario camboriu,SC
-23.587042499999995,-46.63573874999999,4009,sao paulo,SP
