price,freight_value
58.9,13.29
239.9,19.93
199.0,17.87
12.99,12.79
199.9,18.14
21.9,12.69
19.9,11.85
810.0,70.75
145.95,11.65
53.99,11.4
59.99,8.88
45.0,12.98
74.0,23.32
49.9,13.37
49.9,13.37
99.9,27.65
639.0,11.34
144.0,8.77
99.0,13.71
25.0,16.11
47.9,8.88
21.99,11.85
119.99,44.4
49.0,15.1
48.9,16.6
219.9,16.98
289.0,26.33
109.9,25.51
27.9,7.94
119.9,17.32
397.0,24.65
59.9,23.35
21.33,15.1
21.33,15.1
21.33,15.1
16.5,14.1
21.9,15.1
39.0,16.11
49.75,20.8
809.1,44.29
99.99,13.72
59.9,19.95
24.89,17.63
24.89,17.63
24.89,17.63
54.0,8.54
81.99,13.01
99.0,13.71
18.99,7.78
18.99,7.78
38.33,16.79
69.9,18.0
195.0,18.21
35.9,15.2
79.5,21.05
29.99,15.1
109.9,13.21
74.9,16.49
14.95,18.23
149.9,43.11
19.99,14.1
390.0,29.39
135.0,21.75
104.0,16.43
149.0,15.8
279.9,13.46
44.9,23.22
37.99,19.18
29.99,15.31
120.0,15.59
492.75,21.62
94.9,18.54
88.34,21.11
199.99,65.56
99.9,19.67
78.0,8.9
78.0,8.9
155.0,14.84
249.9,34.23
53.98,23.31
8.99,32.57
44.9,7.16
60.6,17.67
225.0,67.24
39.9,15.38
76.0,34.07
159.0,27.19
102.9,14.45
102.9,14.45
63.9,16.89
168.8,8.21
59.9,9.94
59.9,9.94
232.75,28.58
48.9,18.44
87.0,12.11
131.9,18.54
19.9,14.1
136.99,66.04
399.99,23.64
41.0,11.85
69.0,18.58
69.0,18.58
169.9,33.33
119.0,15.28
39.9,18.08
85.0,12.9
220.0,8.89
277.0,35.74
66.99,27.75
14.0,50.85
85.0,17.03
85.0,17.03
229.0,9.8
99.9,0.0
84.9,34.39
189.0,33.91
49.0,7.78
37.9,15.37
179.93,16.14
116.9,13.84
94.9,15.51
121.99,15.73
7.79,7.78
179.99,85.97
7.6,10.96
49.9,17.6
110.32,8.03
49.0,11.85
159.9,61.18
120.0,27.39
21.5,11.98
122.99,15.61
72.99,19.75
129.99,13.93
92.0,17.89
92.0,17.89
33.89,8.4
33.89,8.4
33.89,8.4
33.89,8.4
149.0,40.37
20.3,16.79
179.9,15.01
179.9,15.01
109.9,12.27
89.0,25.9
120.0,13.75
75.0,14.28
46.86,14.52
96.0,14.84
49.99,18.12
24.99,13.58
24.99,13.58
120.1,16.6
69.9,16.25
39.9,54.02
159.9,20.31
540.0,16.22
189.9,31.17
14.9,8.27
43.9,11.85
139.0,87.28
40.35,13.71
469.0,20.85
59.0,16.17
35.9,15.79
35.9,15.79
96.99,16.44
77.9,13.89
229.99,20.8
56.0,14.14
69.99,11.99
49.9,7.78
14.0,7.39
29.0,14.1
99.0,43.06
499.0,30.35
39.85,12.79
149.0,14.06
179.98,12.46
219.99,14.9
129.0,8.16
137.0,15.71
37.0,10.96
154.0,14.83
253.52,82.86
49.9,7.39
148.9,13.95
64.9,18.69
179.0,16.0
27.9,15.1
39.0,16.11
7.0,14.1
269.0,10.7
99.9,17.95
69.9,15.24
89.9,23.13
165.0,19.03
57.99,11.73
259.0,10.63
55.0,7.65
133.0,16.69
35.9,18.23
14.89,18.23
99.0,13.0
90.0,9.44
43.49,27.39
109.99,36.85
9.99,15.23
9.99,15.23
28.5,34.15
199.0,8.74
135.9,21.44
249.0,37.09
49.99,15.56
38.0,7.53
85.0,11.62
117.3,25.66
99.9,18.57
99.9,14.35
18.0,7.87
11.53,7.39
269.99,39.41
89.99,14.8
19.9,42.76
166.9,13.47
133.74,12.44
86.8,7.86
62.0,8.59
158.0,10.68
308.0,31.16
129.0,47.4
143.54,21.49
39.99,18.23
39.99,18.23
49.9,12.92
119.9,23.34
16.9,15.1
29.99,15.1
30.99,34.15
84.99,15.34
149.0,45.12
48.9,8.82
159.49,8.86
249.9,41.53
24.89,7.75
53.99,7.78
15.99,7.39
24.5,11.85
179.0,22.99
37.9,21.43
89.9,22.56
89.9,22.56
89.9,22.56
88.34,29.08
177.9,18.5
32.99,14.1
69.9,0.0
109.9,12.27
52.99,22.3
110.9,14.51
35.9,12.48
39.0,7.53
27.9,7.46
579.0,65.34
99.9,23.57
37.0,19.32
116.6,30.66
49.0,19.25
27.9,9.26
65.0,25.73
39.9,11.85
105.0,17.87
25.79,23.33
25.79,23.33
146.01,13.68
189.9,26.61
139.65,26.26
59.9,7.68
13.65,15.23
31.9,16.11
33.99,16.6
158.9,14.59
47.4,11.85
50.0,21.19
59.9,11.15
199.0,39.66
199.0,39.66
69.9,23.07
50.21,15.1
39.9,16.6
24.99,14.1
130.0,19.01
89.99,7.88
69.0,15.69
165.5,15.8
175.91,52.69
165.5,15.8
165.5,15.8
98.81,13.81
78.0,7.8
21.8,12.48
118.9,18.93
119.8,20.18
45.0,7.39
449.0,20.39
139.85,16.61
139.85,16.61
18.9,12.48
29.9,16.79
39.9,15.1
59.0,13.07
199.0,67.69
32.0,7.39
110.0,18.35
79.9,14.65
24.99,14.1
79.0,13.91
59.9,17.67
19.9,15.1
158.0,15.2
1050.61,25.13
106.9,18.0
362.45,25.12
44.55,11.74
14.99,15.1
14.99,15.1
14.99,15.1
14.99,15.1
125.9,18.13
99.9,26.84
149.0,40.37
19.9,14.1
59.9,9.17
320.0,14.68
59.9,14.59
29.99,15.11
69.0,21.17
56.0,18.69
160.0,19.0
57.95,22.34
64.9,20.18
64.9,20.18
849.0,23.52
20.99,11.85
19.45,14.52
59.9,34.22
59.9,34.22
64.9,15.33
128.9,9.26
189.9,13.77
250.0,97.56
94.9,35.98
27.9,20.8
27.9,20.8
349.9,29.3
110.99,33.23
190.83,12.84
99.5,35.07
104.0,14.82
79.0,15.3
61.99,24.56
419.9,17.69
299.0,23.17
175.0,19.33
49.9,14.1
44.9,11.85
44.9,11.85
38.95,15.37
159.77,16.0
132.9,19.03
36.85,21.85
124.99,21.88
94.99,13.33
32.99,16.11
89.9,17.07
173.0,14.96
44.9,16.11
85.0,13.26
49.9,13.37
54.99,21.18
66.99,22.97
69.99,14.8
268.9,19.98
84.99,16.35
34.99,9.34
34.99,9.34
34.99,9.34
34.99,9.34
77.9,23.35
38.4,9.27
69.0,17.22
134.9,21.43
39.5,15.11
71.0,23.65
225.0,60.81
189.0,32.07
199.0,32.79
35.0,19.44
35.0,19.44
35.0,19.44
49.9,14.52
45.0,35.67
39.97,18.38
39.97,18.38
39.97,18.38
149.0,14.77
51.6,9.34
146.9,19.72
79.9,9.71
22.5,18.26
11.9,16.79
11.9,16.79
19.99,10.96
7.9,16.11
85.71,18.4
29.5,20.84
18.25,17.6
142.0,8.02
179.99,26.1
179.99,26.1
154.9,15.25
299.0,10.29
126.99,18.14
49.89,8.72
8.0,11.85
84.0,10.9
78.0,15.85
229.99,35.37
89.9,26.71
165.0,28.53
199.0,20.12
79.9,28.96
122.99,9.06
139.9,15.15
27.99,8.72
22.0,34.15
22.0,34.15
22.0,34.15
22.0,34.15
42.0,14.12
27.9,16.79
279.9,20.65
14.9,15.23
104.0,15.48
49.0,17.67
49.0,17.67
59.9,14.51
110.0,18.65
79.0,18.43
39.9,14.1
249.0,13.24
379.0,79.94
33.9,13.82
208.1,43.49
593.36,98.13
52.5,19.34
52.5,19.34
66.0,78.63
127.48,16.81
122.99,63.11
49.0,15.44
49.0,15.44
29.99,7.87
59.9,24.7
62.0,24.7
102.0,10.13
27.9,15.1
196.0,11.98
389.0,22.63
119.99,16.47
27.99,14.1
54.99,14.7
88.9,16.06
899.0,21.2
120.0,17.28
279.99,16.72
59.0,15.16
243.37,53.83
249.48,16.5
35.0,19.32
35.0,19.32
99.9,0.0
14.99,8.29
109.73,16.53
9.0,14.1
239.0,19.25
13.99,16.11
29.99,16.79
189.99,27.41
55.0,15.83
58.99,15.29
99.9,17.18
25.99,5.31
25.99,9.57
107.9,18.56
53.9,33.93
53.9,33.93
49.9,12.48
185.81,17.06
501.9,17.26
97.9,16.94
76.0,18.83
15.32,18.0
45.9,12.65
45.9,12.71
45.9,12.71
53.9,0.0
53.9,0.0
21.99,15.1
83.9,28.99
49.99,8.88
50.0,15.1
61.2,11.15
81.9,15.32
79.9,12.9
27.99,14.08
1820.0,81.62
15.99,14.52
240.0,14.7
89.99,38.47
399.9,13.41
89.9,17.88
89.9,17.88
78.0,21.35
28.8,8.36
67.99,8.88
65.0,25.73
89.99,18.21
104.99,17.98
13.99,7.78
3.49,16.79
3.49,16.79
29.99,16.32
16.9,10.96
63.0,23.35
89.0,23.35
159.0,19.21
99.99,16.95
23.89,8.72
21.99,15.1
188.0,16.07
109.9,13.11
59.9,14.73
139.9,16.74
28.49,18.23
154.91,46.67
154.91,46.67
99.99,11.9
27.9,3.81
21.33,25.39
504.0,19.72
25.0,14.1
54.9,23.31
54.9,23.31
54.9,23.31
54.9,23.31
5.53,11.85
5.53,11.85
5.53,11.85
5.53,11.85
5.53,11.85
127.45,23.69
29.0,8.88
19.9,18.24
135.0,23.75
119.9,15.72
30.0,12.69
30.0,12.69
14.4,14.1
79.99,14.31
129.9,18.34
37.99,7.78
79.0,15.3
219.9,20.51
19.9,12.69
169.0,20.09
147.9,16.71
211.05,14.14
610.0,37.54
129.0,38.45
16.0,7.78
189.0,53.11
12.99,18.23
109.9,11.97
29.0,15.3
159.9,8.37
59.9,9.26
292.9,26.54
143.0,94.98
143.0,94.98
52.9,9.09
99.9,25.54
49.0,34.15
99.9,24.9
32.5,15.1
15.0,7.78
230.0,16.36
79.99,9.76
29.99,7.78
219.99,15.14
59.99,7.78
120.0,7.87
139.0,23.55
149.9,8.3
139.0,22.68
99.99,12.09
299.0,22.58
299.0,22.58
129.99,17.65
379.0,36.96
49.0,11.85
129.9,16.67
36.9,34.15
45.0,17.19
45.0,7.78
29.99,7.78
84.9,18.52
75.0,20.02
19.0,18.23
34.99,7.78
59.9,21.26
85.9,17.85
64.9,19.42
219.0,24.11
138.0,25.81
30.9,15.1
31.9,16.79
71.0,10.7
101.0,26.75
45.9,7.78
35.0,16.11
35.0,16.11
59.9,15.17
59.9,9.34
49.8,7.39
49.8,7.39
7.5,7.39
7.5,7.39
89.9,15.33
76.9,15.34
24.99,15.28
69.9,17.4
29.99,34.15
234.9,16.39
159.9,25.96
49.9,17.6
24.9,9.09
24.9,9.09
162.0,11.74
43.9,18.41
189.0,23.25
14.9,15.1
56.99,15.15
75.0,16.16
39.49,8.27
39.49,8.27
44.9,15.11
29.9,18.31
55.9,9.94
66.0,43.4
139.9,9.09
139.9,29.07
56.8,18.28
190.9,17.1
89.0,25.65
129.9,38.46
139.9,27.96
132.9,20.17
359.98,85.59
359.98,85.59
209.99,57.94
154.9,15.39
44.0,12.97
195.0,14.49
97.9,16.94
49.9,35.67
579.99,16.96
59.99,12.76
399.9,21.71
42.9,15.1
320.0,58.91
159.9,28.5
133.9,29.34
148.0,15.13
56.99,8.72
47.65,7.39
93.0,8.0
349.99,18.53
75.9,7.79
109.9,24.05
99.99,13.72
35.0,19.32
35.0,19.32
249.99,18.0
152.0,15.81
79.9,27.51
138.0,29.23
51.0,15.11
738.9,25.62
69.9,8.88
579.0,24.5
579.0,24.5
579.0,24.5
79.9,38.83
139.99,58.11
149.94,57.31
299.99,14.35
168.8,8.44
12.9,7.71
199.9,13.69
187.2,20.54
34.99,15.1
42.9,15.1
69.99,9.36
69.99,9.36
39.0,15.37
109.9,12.72
12.88,8.27
309.9,17.38
39.0,16.6
84.99,18.7
465.0,34.69
139.77,8.74
84.9,13.03
84.9,13.03
109.99,19.74
150.0,44.97
49.99,16.17
59.0,10.68
59.0,17.66
99.9,21.19
79.9,15.41
104.9,24.86
68.9,18.28
110.0,15.52
25.89,22.98
39.9,15.1
52.9,11.87
29.99,12.79
46.55,12.69
629.9,21.66
120.9,41.92
109.9,25.61
44.6,14.52
192.97,33.59
192.97,33.59
192.97,33.59
59.9,9.41
59.9,9.41
57.49,9.94
158.0,18.36
39.9,12.69
101.99,19.41
25.0,11.15
21.99,15.1
21.99,15.1
359.0,25.66
157.77,14.85
89.9,12.13
89.9,12.13
53.9,56.93
15.9,16.79
339.99,12.99
13.47,18.23
103.99,31.6
109.9,18.02
59.9,35.74
17.9,15.1
59.99,11.81
239.99,17.44
70.9,16.94
78.9,17.8
35.89,18.23
49.0,13.41
16.9,7.78
274.95,26.04
59.9,16.86
19.99,7.78
89.0,17.87
398.0,29.11
398.0,29.11
106.9,38.3
24.89,22.06
44.9,8.64
89.0,17.06
89.0,17.06
60.0,25.24
36.23,2.27
79.0,59.78
73.0,15.26
109.9,12.72
18.9,14.1
329.9,46.39
17.9,16.79
75.0,14.62
219.9,27.84
34.0,13.54
114.94,34.16
13.65,18.23
52.0,15.21
229.9,43.98
147.2,18.91
75.0,16.23
48.9,12.69
151.99,17.77
69.9,14.88
28.9,16.11
149.9,23.63
79.9,9.07
92.65,12.99
92.65,12.99
150.0,20.02
119.99,21.29
33.6,15.1
39.9,17.6
39.9,17.6
169.99,16.63
16.0,7.87
118.9,12.04
51.4,14.59
184.99,16.05
76.1,20.02
98.0,12.69
49.9,11.85
49.9,11.85
55.0,12.83
19.0,14.1
24.98,12.84
48.99,15.1
19.9,12.48
19.9,12.48
138.0,25.78
27.3,11.85
45.9,15.1
99.9,16.46
285.9,17.21
46.3,18.63
135.9,16.02
55.0,8.64
32.9,10.96
114.6,18.52
47.9,19.32
78.0,18.65
